SA TABLE:
49 - OP_NEQ - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - MINUS - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - TOCKAZAREZ - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - OP_GT - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - OP_LT - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - OP_LTE - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - ZAREZ - [('REDUCE', '<aditivni_izraz> -> <aditivni_izraz> PLUS <multiplikativni_izraz>')]
49 - OP_MOD - [('MOVE', 50)]
49 - OP_DIJELI - [('MOVE', 51)]
49 - OP_PUTA - [('MOVE', 52)]
53 - OP_BIN_ILI - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 -  OP_I - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_MOD - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_BIN_XILI - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_ILI - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_BIN_I - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_GTE - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 -  PLUS - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_DIJELI - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_EQ - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_NEQ - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - MINUS - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - TOCKAZAREZ - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_GT - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_LT - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_LTE - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - ZAREZ - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
53 - OP_PUTA - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_PUTA <cast_izraz>')]
54 - OP_BIN_ILI - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_DIJELI <cast_izraz>')]
54 -  OP_I - [('REDUCE', '<multiplikativni_izraz> -> <multiplikativni_izraz> OP_DIJELI <cast_izraz>')]
